,Medicine Name,Uses,Side_effects
376,Itromed 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
377,I-Win 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
378,Itzhh 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
379,Itradila 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
380,Ifin 250mg Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
381,Ifin 500 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
382,I-Win 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
383,Itrafix 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
384,Itratuf Oral Solution,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
385,Itragreat 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
386,Itrazole 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
387,Itromed 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
388,Itrason 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
389,I-Tyza Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
390,Itragreat 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
391,ITRAGEN 200MG CAPSULE,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
392,Itaspor Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
393,Itrasys CF 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
394,Itzhh Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
395,Itraclar 100mg Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
396,Itracip 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
397,Itragen 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
398,Itratop 200mg Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
399,Itratuf Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
400,Itral 1% Ointment,Fungal skin infections,Application site reactions burning irritation itching and redness
401,IT Mac 400mg Tablet SR,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
402,Imidil Dusting Powder,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
403,Itrasys 400 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
404,Itralent 100mg Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
405,Itaphyte 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
406,Itrabond 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
407,Itralent 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
408,Itral Eye/Ear Drops,Fungal infections,Irritation Burning sensation Blurred vision
409,Itrafix 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
410,Iycotic Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
411,Itromed Gel,Fungal skin infections,Application site reactions burning irritation itching and redness
412,Itrafix 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
413,Intrazole 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
414,Itrabond 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
415,Itracoe 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
416,Itrazole 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
417,Itracoe Gel,Fungal skin infections,Application site reactions burning irritation itching and redness
418,IZ K Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
419,Itaspor Powder,Fungal skin infections,Application site reactions burning irritation itching and redness
420,Intawin 400 Tablet,Fungal infections,Headache Nausea Stomach pain
421,Ibilul Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
422,Intrazole 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
423,Itracip 200mg Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
424,Itraconol 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
425,Itrostred 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
426,Ibitra 100mg Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
427,Itra RD 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
428,IZ K Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
429,Itrastar 100mg Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
430,Itracat 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
431,Iphytoral 100mg Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
432,Itrafung 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
433,Ibitra 200mg Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
434,Itgo-MT Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
435,Itriben 100mg Tablet,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
436,Itranext Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
437,Itraderm DS Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
438,Itraclar 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
439,Itrostred 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
440,Itorate Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
441,Itracutis  100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
442,Itgo 50DT Tablet,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
443,Itriben 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
444,Itracoe 400 SR Tablet,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
445,Itraderm Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
446,Itratuf Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
447,Itracyp 200mg Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
448,Itsbest 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
449,Jimlig 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
450,Joyneca Anti fungal Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
451,Ketostar Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
452,Keto Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
453,Ketofly Soap from Leeford for Skin Infections,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
454,Ketocip 2% Shampoo from Cipla for Antifungal Infections,Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
455,Ketostar Anti Dandruff Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
456,KZ Plus Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
457,K20 Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
458,Keto-B Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
459,Keto-AZ Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
460,Ketocip Tablet,Fungal infections,Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
461,Kevon Lotion,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
462,Kevon Lotion,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
463,Kenozole Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
464,Keto Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
465,Konaz Antifungal Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
466,Kenz Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
467,Keto Gold Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
468,KZ-XL Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
469,Kenz Lotion,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
470,KZ Dusting Powder,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
471,Ketofly 200mg Tablet,Fungal infections,Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
472,K20 Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
473,Kenz Tablet,Fungal infections,Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
474,Keto Dusting Powder,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
475,Ketafung-Z Plus Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
476,Kansel -DS Gel,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
477,Kansel-B Cream,Fungal skin infections,Paresthesia tingling or pricking sensation Burning sensation Dry skin
478,K2-Zole Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
479,Kansel -DS Lotion,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
480,K2-Zole Solution,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
481,Ketovate Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
482,Kevon Tablet,Fungal infections,Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
483,Ketafung Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
484,Keto Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
485,Keto Lotion,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
486,Keto-B Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
487,Ketafung Lotion,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
488,Kevon Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
489,Ketzz 2% Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
490,Ketonext Shampoo,Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
491,Ketobact Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
492,Ketol-Z Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
493,Ketofine Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
494,Ketofast Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
495,Kurazol Shampoo,Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
496,Kozol Lotion,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
497,Ketonext AF Lotion,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
498,Kitnor Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
499,Ketofine-B Cream,Fungal skin infections,Application site reactions burning irritation itching and redness
500,Ktc 2% Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
501,Ketovate Tablet,Fungal infections,Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
502,Ketosh Shampoo,Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
503,Ketonext Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
504,Ketomed Plus Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
505,Ketoliz 2% Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
506,K Shine Lotion,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
507,Kozol Zpto Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
508,Ketonext Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
509,Ketox Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
510,Ketonol Shampoo,Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
511,Ketoff Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
512,Ketogold Medicated Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
513,Ketogold Medicated Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
514,Ketral  2% Scalp Solution,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
515,Ketoberg Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
516,Ketofine Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
517,K Terbimax Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
518,Ketodust 200mg Tablet,Fungal infections,Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
519,Ketovate Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
520,Ketofine Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
521,Kozol-B Cream,Fungal skin infections,Application site reactions burning irritation itching and redness
522,Ketotek Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
523,Ketopan Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
524,Ketzi Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
525,Klinique Shampoo,Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
526,Kozol Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
527,K2-Zole LD Solution,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
528,Keyzol Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
529,Ketodust Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
530,Ketonex Shampoo,Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
531,Kerashine-K Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
532,Kansel-IT 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
533,Ketoday Shampoo,Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
534,Ketodust Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
535,Ketoya 2% Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
536,Ketodust Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
537,Ketonite Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
538,Ketoya 2% Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
539,Keyzol Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
540,Ketofine Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
541,Kezop Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
542,Ketocaa Soap,Fungal skin infections,Application site reactions burning irritation itching and redness
543,Lulifin Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
544,Lulican Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
545,Lulimac Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
546,Livafin Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
547,Lulibet Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
548,Lulilok Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
549,Lulizol Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
550,L-Sys Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
551,Luliderm Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
552,L-Sys Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
553,Loceryl Nail Lacquer,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
554,Lulifin Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
555,Lulibrut Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
556,Livafin Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
557,Lulitec Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
558,Ludura Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
559,Lulican XL Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
560,Lulifin Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
561,Loceryl Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
562,Lulifin Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
563,Lulibet Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
564,Lilituf Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
