,Medicine Name,Uses,Side_effects
1561,Deys Milk OF Magnesia Liquid Ice Cream,Constipation,"Diarrhea, Stomach cramp"
1562,Dencross Scalp Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
1562,Dencross Scalp Lotion,Dandruff,Application site reactions burning irritation itching and redness
1563,Divalprid-OD 500 Tablet PR,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1563,Divalprid-OD 500 Tablet PR,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1563,Divalprid-OD 500 Tablet PR,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1564,Divaa 250 Solution,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1564,Divaa 250 Solution,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1564,Divaa 250 Solution,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1565,Decomedo Gel,Acne,"Erythema skin redness, Skin peeling, Dryness, Burning sensation, Itching, Stinging sensation"
1566,Deritas 7.5 Tablet PR,Overactive bladder  symptoms,"Constipation, Dryness in mouth, Headache, Dry eye, Nasal dryness"
1567,Dianorm-M OD Tablet SR,Type 2 diabetes mellitus,"Hypoglycemia low blood glucose level, Headache, Nausea, Dizziness, Diarrhea, Flatulence"
1568,Dersol 24% Ointment,Acne,"Itching, Stinging sensation, Skin peeling, Erythema skin redness"
1569,Denis NS 0.9% Sodium Chloride Injection,Short term fluid replacement after trauma,"Injection site reactions pain swelling redness, Hypotension low blood pressure, Fever, Tremors, Chills"
1569,Denis NS 0.9% Sodium Chloride Injection,Dehydration,"Injection site reactions pain swelling redness, Hypotension low blood pressure, Fever, Tremors, Chills"
1570,Dericip Retard 300  Tablet PR,Chronic obstructive pulmonary disease ,"Nausea, Vomiting, Headache, Restlessness"
1571,Depaxil CR 25 Tablet,Depression,"Nausea, Fatigue, Dryness in mouth, Loss of appetite, Increased sweating, Dizziness, Nervousness, Tremors, Low sexual desire, Insomnia difficulty in sleeping, Confusion, Constipation, Erectile dysfunction, Delayed ejaculation, Decreased libido"
1571,Depaxil CR 25 Tablet,Panic disorder,"Nausea, Fatigue, Dryness in mouth, Loss of appetite, Increased sweating, Dizziness, Nervousness, Tremors, Low sexual desire, Insomnia difficulty in sleeping, Confusion, Constipation, Erectile dysfunction, Delayed ejaculation, Decreased libido"
1571,Depaxil CR 25 Tablet,Anxiety disorder,"Nausea, Fatigue, Dryness in mouth, Loss of appetite, Increased sweating, Dizziness, Nervousness, Tremors, Low sexual desire, Insomnia difficulty in sleeping, Confusion, Constipation, Erectile dysfunction, Delayed ejaculation, Decreased libido"
1572,Dabiclot 150mg Capsule,"Treatment and prevention of, Blood clots","Nausea, Anemia low number of red blood cells, Gastrointestinal bleeding, Dyspepsia, Diarrhea, Abdominal pain, Nosebleeds, Skin bleeding"
1573,Dynapar MR 8 Tablet,Pain due to muscle spasm,"Nausea, Vomiting, Diarrhea, Heartburn, Stomach pain epigastric pain, Loss of appetite"
1574,Danblock Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
1574,Danblock Lotion,Dandruff,Application site reactions burning irritation itching and redness
1575,Dicloran SR Tablet,Pain relief,"Edema swelling, Nausea, Headache, Dizziness, Vomiting, Itching, Flatulence, Indigestion, Pain in extremities"
1576,Dolonex Rapid 20mg Tablet,Pain relief,"Vomiting, Stomach pain, Nausea, Headache, Dizziness"
1577,Dablexa 150 Capsule,"Treatment and prevention of, Blood clots","Nausea, Anemia low number of red blood cells, Gastrointestinal bleeding, Dyspepsia, Diarrhea, Abdominal pain, Nosebleeds, Skin bleeding"
1578,Droziver 80mg Tablet,Pain relief,"Nausea, Vomiting, Dryness in mouth, Vertigo, Constipation, Insomnia difficulty in sleeping, Hypotension low blood pressure, Fast heart rate, Sweating"
1579,Delok 20 Capsule DR,Depression,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
1579,Delok 20 Capsule DR,Anxiety disorder,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
1579,Delok 20 Capsule DR,Diabetic nerve pain,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
1579,Delok 20 Capsule DR,Fibromyalgia,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
1579,Delok 20 Capsule DR,Neuropathic pain,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
1579,Delok 20 Capsule DR,Stress urinary incontinence,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
1580,Dilgel,Anal fissure,"Application site reactions burning irritation itching and redness, Headache, Dizziness, Lightheadedness"
1581,Doxcef 100mg Tablet DT,Bacterial infections,"Rash, Nausea, Diarrhea"
1582,Dilantin Oral Suspension,"Treatment and prevention of, Epilepsy/, Seizures","Rash, Headache, Dizziness, Vomiting, Nausea, Slurred speech, Vertigo, Confusion, Nervousness, Constipation, Tremors, Altered walking"
1583,Deriphyllin Injection,Chronic obstructive pulmonary disease ,"Nausea, Vomiting, Headache, Restlessness"
1584,Duomate Forte Transcaps,Chronic obstructive pulmonary disease ,"Headache, Pneumonia, Pharyngitis, Voice change, Tremors"
1585,Desveren 100 Tablet ER,Depression,"Anxiety, Constipation, Decreased appetite, Dizziness, Increased sweating, Insomnia difficulty in sleeping, Nausea, Sexual dysfunction, Vomiting"
1586,Depakote XR 500 Tablet,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1586,Depakote XR 500 Tablet,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1586,Depakote XR 500 Tablet,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1587,D Flour Tablet,Dental cavities,"Allergic skin rash, Upset stomach"
1588,Derinide-AQ Nasal Spray,Sneezing and runny nose due to allergies,"Nasal irritation, Nosebleeds, Throat irritation"
1588,Derinide-AQ Nasal Spray,Nasal polyps,"Nasal irritation, Nosebleeds, Throat irritation"
1589,Depig-F Cream,Melasma,"Erythema skin redness, Dryness and fissuring of paranasal and infraorbital areas, Stinging sensation"
1590,Dubinor PM Capsule,Neuropathic pain,"Dizziness, Sleepiness, Tiredness, Uncoordinated body movements"
1591,Dill-N Tablet,Pain relief,No common side effects seen
1592,D3-Zen 60K Soft Gelatin Capsule,"Vitamin, D deficiency",No common side effects seen
1592,D3-Zen 60K Soft Gelatin Capsule,Osteoporosis,No common side effects seen
1593,Diamet 500mg Tablet SR,Type 2 diabetes mellitus,"Diarrhea, Nausea, Vomiting, Flatulence"
1594,Diapride M1 LV 1mg/500mg/0.2mg Tablet SR,Type 2 diabetes mellitus,"Nausea, Diarrhea, Abdominal pain, Hypoglycemia low blood glucose level"
1595,Deriphyllin S 231mg/69mg/4mg Tablet PR,Asthma,"Vomiting, Headache, Palpitations, Nausea, Restlessness, Muscle cramp, Tremors, Stomach discomfort"
1596,Dermoquinol 8% Cream,"Bacterial infections of external ear, Fungal skin infections","Burning sensation, Itching, Rash, Skin swelling, Erythema skin redness"
1597,Denlafax 50 Tablet PR,Depression,"Anxiety, Constipation, Decreased appetite, Dizziness, Increased sweating, Insomnia difficulty in sleeping, Nausea, Sexual dysfunction, Vomiting"
1598,Drez Spray,"Treatment and prevention of, Wound infection",Application site reactions burning irritation itching and redness
1599,Diclozyme-P Tablet,Pain relief,"Nausea, Vomiting, Stomach pain, Indigestion, Heartburn, Loss of appetite, Diarrhea"
1600,Dicaris  Children Tablet,"Parasitic, Worm infections","Nausea, Vomiting, Diarrhea, Abdominal pain, Fever"
1600,Dicaris  Children Tablet,Skin disorders,"Nausea, Vomiting, Diarrhea, Abdominal pain, Fever"
1601,Desval  ER 750 Tablet,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1601,Desval  ER 750 Tablet,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1601,Desval  ER 750 Tablet,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1602,Dabilong 110mg Capsule,"Treatment and prevention of, Blood clots","Nausea, Anemia low number of red blood cells, Gastrointestinal bleeding, Dyspepsia, Diarrhea, Abdominal pain, Nosebleeds, Skin bleeding"
1603,Dolonex Gel,Pain relief,"No common side effects seen, Vomiting, Stomach pain, Nausea, Headache, Dizziness"
1604,Divalrate 500mg Tablet ER,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1604,Divalrate 500mg Tablet ER,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1604,Divalrate 500mg Tablet ER,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1605,Densaid-QA Sachet,Pain relief,"Edema swelling, Nausea, Headache, Dizziness, Vomiting, Itching, Flatulence, Indigestion, Pain in extremities"
1606,Dersol 18% Ointment,Acne,"Itching, Stinging sensation, Skin peeling, Erythema skin redness"
1607,Diasdac SP Tablet,Pain relief,"Nausea, Vomiting, Stomach pain, Indigestion, Heartburn, Loss of appetite, Diarrhea"
1608,Divaxee OD 500 Tablet PR,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1608,Divaxee OD 500 Tablet PR,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1608,Divaxee OD 500 Tablet PR,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1609,Donecept M Tablet,Alzheimer's disease,"Nausea, Vomiting, Loss of appetite, Diarrhea, Headache, Dizziness, Bleeding under the skin"
1610,Diabend -MR 60 Tablet,Type 2 diabetes mellitus,"Hypoglycemia low blood glucose level, Weight gain, Flatulence, Diarrhea, Headache, Nausea, Dizziness"
1611,Dermicee Cream,Fungal skin infections,"Paresthesia tingling or pricking sensation, Burning sensation, Dry skin"
1612,Dobact-Core Capsule,Bacterial infections,"Nausea, Vomiting, Photosensitivity, Anaphylactic reaction, Rash, Headache, Fast heart rate, Hypotension low blood pressure"
1613,Deriva I 10mg Capsule,Acne,"Dry skin, Increased liver enzymes, Rash"
1614,Druffnil Shampoo,Dandruff,Application site reactions burning irritation itching and redness
1615,Dabistar 75mg Capsule,"Treatment and prevention of, Blood clots","Nausea, Anemia low number of red blood cells, Gastrointestinal bleeding, Dyspepsia, Diarrhea, Abdominal pain, Nosebleeds, Skin bleeding"
1616,Dicorate Solution,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1616,Dicorate Solution,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1616,Dicorate Solution,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1617,Drotin DS Oral Suspension Mango Sugar Free,Pain relief,"Blurred vision, Weakness, Nervousness, Nausea, Vomiting, Dryness in mouth, Vertigo, Constipation, Insomnia difficulty in sleeping, Hypotension low blood pressure, Fast heart rate, Sweating"
1618,Desilam 10 Tablet,Depression,"Anorgasmia decreased orgasm in women, Decreased libido, Delayed ejaculation, Fatigue, Increased sweating, Insomnia difficulty in sleeping, Nausea, Sleepiness"
1618,Desilam 10 Tablet,Anxiety disorder,"Anorgasmia decreased orgasm in women, Decreased libido, Delayed ejaculation, Fatigue, Increased sweating, Insomnia difficulty in sleeping, Nausea, Sleepiness"
1618,Desilam 10 Tablet,Panic disorder,"Anorgasmia decreased orgasm in women, Decreased libido, Delayed ejaculation, Fatigue, Increased sweating, Insomnia difficulty in sleeping, Nausea, Sleepiness"
1619,Dibeta GB 5 mg/500 mg Tablet,Type 2 diabetes mellitus,"Nausea, Vomiting, Diarrhea, Flatulence"
1620,Dermikem 4 Cream,Skin infections,"Itching, Thinning of skin, Burning sensation at the site of application, Irritation"
1621,Diabend-MR 30 Tablet,Type 2 diabetes mellitus,"Hypoglycemia low blood glucose level, Weight gain, Flatulence, Diarrhea, Headache, Nausea, Dizziness"
1622,Djiso 20mg Tablet,Acne,"Dry skin, Increased liver enzymes, Rash"
1623,Dovy-M Tablet,Abdominal pain,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia difficulty in sleeping, Hypotension low blood pressure, Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count eosinophils, Decreased white blood cell count lymphocytes, Low blood platelets, Purpura, Agranulocytosis deficiency of granulocytes in the blood, Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression"
1624,Doberol Capsule,Piles,"Skin rash, Fever, Nausea, Vomiting"
1624,Doberol Capsule,Varicose veins,"Skin rash, Fever, Nausea, Vomiting"
1625,Donep Syrup,Alzheimer's disease,"Common cold, Urinary incontinence, Rash, Nausea, Diarrhea, Insomnia difficulty in sleeping, Weight loss, Accidental injury"
1626,Depakote XR 250 Tablet,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1626,Depakote XR 250 Tablet,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1626,Depakote XR 250 Tablet,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1627,Divalpro 250 Tablet,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1627,Divalpro 250 Tablet,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1627,Divalpro 250 Tablet,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1628,Dermitop Lotion,Skin conditions with inflammation & itching,"Stinging sensation, Itching, Hair follicle inflammation"
1629,Drez 10% Solution,"Treatment and prevention of, Wound infection",Application site reactions burning irritation itching and redness
1630,Dinace 2.5 Tablet,"Parkinson's disease, Drug induced abnormal movements","Dryness in mouth, Nausea, Vomiting, Constipation, Blurred vision, Dizziness, Lightheadedness, Dilatation of pupil, Epigastric pain"
1631,Divalid 250mg Tablet ER,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1631,Divalid 250mg Tablet ER,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1631,Divalid 250mg Tablet ER,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1632,Deys Milk OF Magnesia 0.311gm Tablet,Constipation,"Diarrhea, Stomach cramp"
1633,Drego-LS Capsule SR,Gastroesophageal reflux disease ,"Nausea, Stomach pain, Diarrhea, Flatulence, Constipation, Headache, Dizziness, Weakness, Sleepiness, Flu like symptoms"
1633,Drego-LS Capsule SR,Intestinal ulcers,"Nausea, Stomach pain, Diarrhea, Flatulence, Constipation, Headache, Dizziness, Weakness, Sleepiness, Flu like symptoms"
1633,Drego-LS Capsule SR,Irritable bowel syndrome,"Nausea, Stomach pain, Diarrhea, Flatulence, Constipation, Headache, Dizziness, Weakness, Sleepiness, Flu like symptoms"
1634,Drez S Dusting Powder,Bacterial skin infections,"Dry skin, Application site reactions burning irritation itching and redness"
1635,Dilcontin 60 Tablet CR,Hypertension ,"Headache, Dizziness, Nausea, Edema swelling"
1635,Dilcontin 60 Tablet CR,Angina ,"Headache, Dizziness, Nausea, Edema swelling"
1635,Dilcontin 60 Tablet CR,Arrhythmia,"Headache, Dizziness, Nausea, Edema swelling"
1636,Divalpro XR 250 Tablet,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1636,Divalpro XR 250 Tablet,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1636,Divalpro XR 250 Tablet,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1637,Diasdac-ER Tablet,Pain relief,"Visual disturbance, Vomiting, Stomach pain epigastric pain, Nausea, Indigestion, Dizziness, Drowsiness, Visual disorder"
1638,Distaclor Drop,Bacterial infections,"Abdominal pain, Skin rash, Gastrointesinal symptoms, Diarrhea, Hypersensitivity, Drug eruptions, Increased white blood cell count eosinophils, Genital itching, Increased liver enzymes, Vaginal inflammation"
1639,Donecept 10 Tablet,Alzheimer's disease,"Common cold, Urinary incontinence, Rash, Nausea, Diarrhea, Insomnia difficulty in sleeping, Weight loss, Accidental injury"
1640,Domtac Tablet,Gastroesophageal reflux disease ,"Diarrhea, Stomach pain, Flatulence, Dryness in mouth, Dizziness, Headache"
1640,Domtac Tablet,Peptic ulcer disease,"Diarrhea, Stomach pain, Flatulence, Dryness in mouth, Dizziness, Headache"
1641,Dezacor 30 Tablet,Inflammatory conditions,"Increased appetite, Weight gain, Frequent urge to urinate, Cushing syndrome, Cough, Upper respiratory tract infection, Abnormal hair growth, Obesity, Nasopharyngitis inflammation of the throat and nasal passages"
1641,Dezacor 30 Tablet,Autoimmune conditions,"Increased appetite, Weight gain, Frequent urge to urinate, Cushing syndrome, Cough, Upper respiratory tract infection, Abnormal hair growth, Obesity, Nasopharyngitis inflammation of the throat and nasal passages"
1641,Dezacor 30 Tablet,Cancer,"Increased appetite, Weight gain, Frequent urge to urinate, Cushing syndrome, Cough, Upper respiratory tract infection, Abnormal hair growth, Obesity, Nasopharyngitis inflammation of the throat and nasal passages"
1642,Dianorm Total 30 Tablet SR,Type 2 diabetes mellitus,"Hypoglycemia low blood glucose level, Dizziness, Headache, Nausea, Vomiting, Diarrhea, Flatulence, Upper respiratory tract infection, Bronchitis inflammation of the airways, Anemia low number of red blood cells, Edema swelling"
1643,Diproex ER 250 Tablet,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1643,Diproex ER 250 Tablet,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1643,Diproex ER 250 Tablet,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1644,Diproex ER 250 Tablet,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1644,Diproex ER 250 Tablet,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1644,Diproex ER 250 Tablet,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1645,Dabiclot 75mg Capsule,"Treatment and prevention of, Blood clots","Nausea, Anemia low number of red blood cells, Gastrointestinal bleeding, Dyspepsia, Diarrhea, Abdominal pain, Nosebleeds, Skin bleeding"
1646,Divalpro 500 Tablet,"Epilepsy/, Seizures","Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1646,Divalpro 500 Tablet,Bipolar disorder,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1646,Divalpro 500 Tablet,Migraine,"Decreased body temperature, Dizziness, Sleepiness, Tremors, Paresthesia tingling or pricking sensation, Anemia low number of red blood cells, Decreased sodium level in blood, Liver injury, Gastrointestinal disturbance, Hypersensitivity, Deafness, Urinary incontinence, Increase in body weight, Pain during periods"
1647,Deriphyllin Tablet,Chronic obstructive pulmonary disease ,"Nausea, Vomiting, Headache, Restlessness"
1648,Dargen 60 Injection,Anemia due to chronic kidney disease,"Abdominal pain, High blood pressure, Rash, Injection site pain, Breathlessness, Cough, Peripheral edema, Procedural hypotension low blood pressure, Convulsion, Thromboembolism"
1648,Dargen 60 Injection,Anemia due to cancer chemotherapy,"Abdominal pain, High blood pressure, Rash, Injection site pain, Breathlessness, Cough, Peripheral edema, Procedural hypotension low blood pressure, Convulsion, Thromboembolism"
1649,Dutandro 0.5mg Tablet,Benign prostatic hyperplasia,"Decreased sperm count, Impotence, Decreased libido, Ejaculation disorder, Breast enlargement in male, Breast tenderness in male"
1650,Domrab  Capsule SR,Gastroesophageal reflux disease ,"Diarrhea, Stomach pain, Dryness in mouth, Headache, Dizziness, Flatulence, Weakness, Flu like symptoms"
1650,Domrab  Capsule SR,Peptic ulcer disease,"Diarrhea, Stomach pain, Dryness in mouth, Headache, Dizziness, Flatulence, Weakness, Flu like symptoms"
